customer_name,age,country,gender,marital_status,period,total_sales,total_orders,total_products,customer_class,age_group,last_order,avg_order_value,avg_monthly_spend
"Jon Yang",54,Australia,Male,Married,27,17370,12,12,VIP,Middle-aged,151,1447.5000,643.3333
"Eugene Huang",49,Australia,Male,Single,34,17349,18,18,VIP,Middle-aged,144,963.8333,510.2647
"Ruben Torres",54,Australia,Male,Married,25,17295,12,12,VIP,Middle-aged,154,1441.2500,691.8000
"Christy Zhu",52,Australia,Female,Single,24,17139,12,12,VIP,Middle-aged,155,1428.2500,714.1250
"Elizabeth Johnson",46,Australia,Female,Single,27,17580,18,18,VIP,Middle-aged,151,976.6667,651.1111
"Julio Ruiz",49,Australia,Male,Single,24,17085,6,6,VIP,Middle-aged,155,2847.5000,711.8750
"Janet Alvarez",49,Australia,Female,Single,23,17160,6,6,VIP,Middle-aged,156,2860.0000,746.0870
"Marco Mehta",56,Australia,Male,Married,26,17505,18,18,VIP,Middle-aged,153,972.5000,673.2692
"Rob Verhoff",50,Australia,Female,Single,25,17220,12,12,VIP,Middle-aged,153,1435.0000,688.8000
"Shannon Carlson",56,Australia,Male,Single,27,17220,12,12,VIP,Middle-aged,151,1435.0000,637.7778
"Jacquelyn Suarez",56,Australia,Female,Single,28,17139,12,12,VIP,Middle-aged,151,1428.2500,612.1071
"Curtis Lu",56,Australia,Male,Married,24,17085,6,6,VIP,Middle-aged,155,2847.5000,711.8750
"Lauren Walker",46,"United States",Female,Married,0,210,6,6,New,Middle-aged,153,35.0000,NULL
"Ian Jenkins",46,"United States",Male,Married,9,420,12,12,New,Middle-aged,143,35.0000,46.6667
"Sydney Bennett",52,"United States",Female,Single,1,492,15,15,New,Middle-aged,151,32.8000,492.0000
"Chloe Young",41,"United States",Female,Single,0,6960,3,3,New,Middle-aged,155,2320.0000,NULL
"Wyatt Hill",41,"United States",Male,Married,0,6885,3,3,New,Middle-aged,154,2295.0000,NULL
"Shannon Wang",76,Australia,Female,Single,23,17010,6,6,VIP,Senior,155,2835.0000,739.5652
"Clarence Rai",70,Australia,Male,Single,33,17370,12,12,VIP,Senior,146,1447.5000,526.3636
"Luke Lal",42,Canada,Male,Single,9,1074,30,30,New,Middle-aged,143,35.8000,119.3333
"Jordan King",41,Canada,Male,Single,0,6885,3,3,New,Middle-aged,156,2295.0000,NULL
"Destiny Wilson",41,"United States",Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Ethan Zhang",41,"United States",Male,Married,0,6960,3,3,New,Middle-aged,155,2320.0000,NULL
"Alejandro Beck",74,Australia,Male,Married,24,17085,6,6,VIP,Senior,155,2847.5000,711.8750
"Harold Sai",74,Australia,Male,Single,26,17232,9,9,VIP,Senior,153,1914.6667,662.7692
"Jessie Zhao",73,Australia,Male,Married,28,17139,12,12,VIP,Senior,151,1428.2500,612.1071
"Jill Jimenez",74,Australia,Female,Married,27,17085,6,6,VIP,Senior,151,2847.5000,632.7778
"Jimmy Moreno",73,Australia,Male,Married,27,17370,12,12,VIP,Senior,151,1447.5000,643.3333
"Bethany Yuan",67,Australia,Female,Married,33,17214,12,12,VIP,Senior,145,1434.5000,521.6364
"Theresa Ramos",72,Australia,Female,Married,29,17160,6,6,VIP,Senior,149,2860.0000,591.7241
"Denise Stone",73,Australia,Female,Married,32,17139,12,12,VIP,Senior,145,1428.2500,535.5938
"Jaime Nath",67,Australia,Male,Married,32,17349,18,18,VIP,Senior,145,963.8333,542.1563
"Ebony Gonzalez",73,Australia,Female,Married,30,17085,6,6,VIP,Senior,148,2847.5000,569.5000
"Wendy Dominguez",72,Australia,Female,Married,31,17085,6,6,VIP,Senior,147,2847.5000,551.1290
"Jennifer Russell",41,"United States",Female,Married,0,7170,9,9,New,Middle-aged,155,796.6667,NULL
"Chloe Garcia",42,Canada,Female,Single,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Diana Hernandez",72,Australia,Female,Married,30,17085,6,6,VIP,Senior,147,2847.5000,569.5000
"Marc Martin",71,Australia,Male,Married,33,17268,18,18,VIP,Senior,145,959.3333,523.2727
"Jesse Murphy",42,"United States",Male,Married,0,6960,3,3,New,Middle-aged,152,2320.0000,NULL
"Amanda Carter",42,"United States",Female,Married,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Megan Sanchez",43,"United States",Female,Married,8,7260,9,9,New,Middle-aged,146,806.6667,907.5000
"Nathan Simmons",44,"United States",Male,Married,0,54,6,6,New,Middle-aged,151,9.0000,NULL
"Adam Flores",71,Australia,Male,Married,32,17010,6,6,VIP,Senior,145,2835.0000,531.5625
"Leonard Nara",70,Australia,Male,Single,6,510,12,12,New,Senior,146,42.5000,85.0000
"Christine Yuan",70,Australia,Female,Married,33,17367,15,15,VIP,Senior,145,1157.8000,526.2727
"Jaclyn Lu",70,Australia,Female,Married,33,17160,6,6,VIP,Senior,145,2860.0000,520.0000
"Jeremy Powell",69,Australia,Male,Married,34,17064,12,12,VIP,Senior,144,1422.0000,501.8824
"Carol Rai",39,"United States",Female,Single,0,210,6,6,New,Adult,153,35.0000,NULL
"Alan Zheng",68,Australia,Male,Married,32,10335,9,9,VIP,Senior,145,1148.3333,322.9688
"Daniel Johnson",68,Australia,Male,Single,0,564,18,18,New,Senior,143,31.3333,NULL
"Heidi Lopez",68,Australia,Female,Single,27,17220,12,12,VIP,Senior,151,1435.0000,637.7778
"Ana Price",39,"United States",Female,Married,0,7095,9,9,New,Adult,155,788.3333,NULL
"Deanna Munoz",68,Australia,Female,Married,27,17295,12,12,VIP,Senior,150,1441.2500,640.5556
"Gilbert Raje",68,Australia,Male,Married,24,17295,12,12,VIP,Senior,154,1441.2500,720.6250
"Michele Nath",67,Australia,Female,Married,27,17367,15,15,VIP,Senior,150,1157.8000,643.2222
"Carl Andersen",55,Australia,Male,Married,23,17085,6,6,VIP,Middle-aged,155,2847.5000,742.8261
"Marc Diaz",60,Australia,Male,Married,26,17370,12,12,VIP,Senior,150,1447.5000,668.0769
"Ashlee Andersen",66,Australia,Female,Single,0,54,6,6,New,Senior,154,9.0000,NULL
"Jon Zhou",66,Australia,Male,Married,27,17370,12,12,VIP,Senior,150,1447.5000,643.3333
"Todd Gao",49,Australia,Male,Married,21,17295,12,12,VIP,Middle-aged,155,1441.2500,823.5714
"Noah Powell",44,"United States",Male,Married,0,7095,9,9,New,Middle-aged,155,788.3333,NULL
"Angela Murphy",45,"United States",Female,Single,0,6939,9,9,New,Middle-aged,155,771.0000,NULL
"Chase Reed",44,"United States",Male,Married,0,6885,3,3,New,Middle-aged,155,2295.0000,NULL
"Grace Butler",46,"United States",Female,Married,0,210,6,6,New,Middle-aged,147,35.0000,NULL
"Caleb Carter",43,"United States",Male,Single,0,282,9,9,New,Middle-aged,143,31.3333,NULL
"Tiffany Liang",59,Australia,Female,Single,0,72,3,3,New,Middle-aged,151,24.0000,NULL
"Carolyn Navarro",59,Australia,Female,Single,21,17160,6,6,VIP,Middle-aged,155,2860.0000,817.1429
"Willie Raji",65,Australia,Male,Married,20,17085,6,6,VIP,Senior,155,2847.5000,854.2500
"Casey Luo",65,Australia,Female,Single,21,17160,6,6,VIP,Senior,155,2860.0000,817.1429
"Amy Ye",63,Australia,Female,Single,4,474,18,18,New,Senior,148,26.3333,118.5000
"Levi Arun",63,Australia,Male,Single,0,210,6,6,New,Senior,153,35.0000,NULL
"Felicia Jimenez",62,Australia,Female,Single,20,17010,6,6,VIP,Senior,155,2835.0000,850.5000
"Blake Anderson",62,Australia,Male,Single,20,17160,6,6,VIP,Senior,155,2860.0000,858.0000
"Leah Ye",62,Australia,Female,Single,25,17295,12,12,VIP,Senior,150,1441.2500,691.8000
"Gina Martin",40,Canada,Female,Single,7,1302,33,33,New,Middle-aged,146,39.4545,186.0000
"Donald Gonzalez",55,Australia,Male,Single,0,54,6,6,New,Middle-aged,147,9.0000,NULL
"Damien Chander",60,Australia,Male,Married,26,17595,18,18,VIP,Senior,150,977.5000,676.7308
"Savannah Baker",53,"United States",Female,Married,0,54,6,6,New,Middle-aged,152,9.0000,NULL
"Angela Butler",53,"United States",Female,Single,9,6957,6,6,New,Middle-aged,145,1159.5000,773.0000
"Alyssa Cox",48,"United States",Female,Married,0,7170,9,9,New,Middle-aged,155,796.6667,NULL
"Lucas Phillips",62,"United States",Male,Single,0,6960,3,3,New,Senior,155,2320.0000,NULL
"Emily Johnson",62,"United States",Female,Single,1,510,12,12,New,Senior,143,42.5000,510.0000
"Ryan Brown",62,"United States",Male,Married,5,582,15,15,New,Senior,144,38.8000,116.4000
"Hunter Davis",62,"United States",Male,Married,0,7032,6,6,New,Senior,155,1172.0000,NULL
"Abigail Price",63,"United States",Female,Single,10,7605,21,21,New,Senior,145,362.1429,760.5000
